location,breakOutCategory,breakOut,response,value,lowConfidenceLimit,highConfidenceLimit,sampleSize
Nebraska,Adequacy of Prenatal care,Adequate PNC,FALSE,60.9,57.5,64.3,696
New York City,Adequacy of Prenatal care,Adequate PNC,FALSE,66.1,62.5,69.6,665
Massachusetts,Adequacy of Prenatal care,Adequate PNC,TRUE,41.1,37.5,44.9,471
Vermont,Adequacy of Prenatal care,Adequate PNC,FALSE,58.9,55.4,62.2,476
Wisconsin,Adequacy of Prenatal care,Adequate PNC,FALSE,59.7,55.1,64.1,681
New Mexico,Adequacy of Prenatal care,Adequate PNC,FALSE,69.6,66.5,72.6,560
Pennsylvania,Adequacy of Prenatal care,Adequate PNC,FALSE,64.7,60.6,68.5,403
Michigan,Adequacy of Prenatal care,Adequate PNC,FALSE,66.5,63.4,69.5,815
Washington,Adequacy of Prenatal care,Adequate PNC,FALSE,60.2,55.7,64.5,430
Minnesota,Adequacy of Prenatal care,Adequate PNC,TRUE,40.8,37.6,44.1,396
Oklahoma,Adequacy of Prenatal care,Adequate PNC,FALSE,70.8,66.3,74.8,830
West Virginia,Adequacy of Prenatal care,Adequate PNC,FALSE,73.9,70.6,76.9,820
Washington,Adequacy of Prenatal care,Adequate PNC,TRUE,39.8,35.5,44.3,243
West Virginia,Adequacy of Prenatal care,Adequate PNC,TRUE,26.1,23.1,29.4,287
Oregon,Adequacy of Prenatal care,Adequate PNC,TRUE,34.9,31.2,38.8,413
Utah,Adequacy of Prenatal care,Adequate PNC,FALSE,65.2,61.9,68.3,696
Rhode Island,Adequacy of Prenatal care,Adequate PNC,FALSE,62.7,59.2,66,603
Arkansas,Adequacy of Prenatal care,Adequate PNC,FALSE,76.6,71.9,80.7,716
Oklahoma,Adequacy of Prenatal care,Adequate PNC,TRUE,29.2,25.2,33.7,366
Wyoming,Adequacy of Prenatal care,Adequate PNC,FALSE,63.3,58,68.2,302
Massachusetts,Adequacy of Prenatal care,Adequate PNC,FALSE,58.9,55.1,62.5,743
Delaware,Adequacy of Prenatal care,Adequate PNC,FALSE,70,66.6,73.2,516
PRAMS Total,Adequacy of Prenatal care,Inadequate PNC,FALSE,77.1,74,80,1491
PRAMS Total,Adequacy of Prenatal care,Inadequate PNC,TRUE,22.9,20,26,492
Wisconsin,Adequacy of Prenatal care,Inadequate PNC,FALSE,55.1,35.1,73.5,57
New Mexico,Adequacy of Prenatal care,Inadequate PNC,FALSE,75.4,67.1,82.1,91
Pennsylvania,Adequacy of Prenatal care,Inadequate PNC,TRUE,24.5,15.2,37,18
Delaware,Adequacy of Prenatal care,Inadequate PNC,TRUE,30,20.5,41.6,25
Washington,Adequacy of Prenatal care,Inadequate PNC,TRUE,25.8,15,40.5,19
Utah,Adequacy of Prenatal care,Inadequate PNC,FALSE,64.8,47.7,78.8,29
Wyoming,Adequacy of Prenatal care,Inadequate PNC,FALSE,64.3,45.7,79.4,35
Colorado,Adequacy of Prenatal care,Inadequate PNC,TRUE,34.1,24.3,45.6,49
West Virginia,Adequacy of Prenatal care,Inadequate PNC,TRUE,22.4,13.1,35.7,28
New York City,Adequacy of Prenatal care,Inadequate PNC,FALSE,77.4,64.7,86.5,55
Oregon,Adequacy of Prenatal care,Inadequate PNC,TRUE,34,19,53,17
Maryland,Adequacy of Prenatal care,Inadequate PNC,TRUE,20.4,11.6,33.6,36
Minnesota,Adequacy of Prenatal care,Inadequate PNC,FALSE,55.2,36.6,72.5,37
Michigan,Adequacy of Prenatal care,Inadequate PNC,TRUE,17.3,8.6,31.8,11
Missouri,Adequacy of Prenatal care,Inadequate PNC,FALSE,84.2,70.3,92.3,47
Minnesota,Adequacy of Prenatal care,Inadequate PNC,TRUE,44.8,27.5,63.4,14
Pennsylvania,Adequacy of Prenatal care,Inadequate PNC,FALSE,75.5,63,84.8,60
Oklahoma,Adequacy of Prenatal care,Inadequate PNC,FALSE,85.3,67.9,94.1,105
Washington,Adequacy of Prenatal care,Inadequate PNC,FALSE,74.2,59.5,85,63
New Mexico,Adequacy of Prenatal care,Inadequate PNC,TRUE,24.6,17.9,32.9,31
Missouri,Adequacy of Prenatal care,Inadequate PNC,TRUE,15.8,7.7,29.7,10
Hawaii,Adequacy of Prenatal care,Inadequate PNC,FALSE,75.9,59,87.3,57
Massachusetts,Adequacy of Prenatal care,Inadequate PNC,TRUE,31.2,16.3,51.3,15
Arkansas,Adequacy of Prenatal care,Inadequate PNC,TRUE,23.5,11.5,42.1,19
Michigan,Adequacy of Prenatal care,Inadequate PNC,FALSE,82.7,68.2,91.4,46
West Virginia,Adequacy of Prenatal care,Inadequate PNC,FALSE,77.6,64.3,86.9,86
New York (excluding NYC),Adequacy of Prenatal care,Inadequate PNC,FALSE,83.8,66.1,93.2,39
Oregon,Adequacy of Prenatal care,Inadequate PNC,FALSE,66,47,81,49
Georgia,Adequacy of Prenatal care,Inadequate PNC,TRUE,6.8,2.1,20.1,15
New York City,Adequacy of Prenatal care,Inadequate PNC,TRUE,22.6,13.5,35.3,22
New York (excluding NYC),Adequacy of Prenatal care,Inadequate PNC,TRUE,16.2,6.8,33.9,9
Massachusetts,Adequacy of Prenatal care,Inadequate PNC,FALSE,68.8,48.7,83.7,31
Hawaii,Adequacy of Prenatal care,Inadequate PNC,TRUE,24.1,12.7,41,14
Maryland,Adequacy of Prenatal care,Inadequate PNC,FALSE,79.6,66.4,88.4,84
New Jersey,Adequacy of Prenatal care,Inadequate PNC,TRUE,24.7,15.9,36.1,21
Nebraska,Adequacy of Prenatal care,Inadequate PNC,TRUE,38.6,26.6,52,34
Arkansas,Adequacy of Prenatal care,Inadequate PNC,FALSE,76.5,57.9,88.5,65
Wyoming,Adequacy of Prenatal care,Inadequate PNC,TRUE,35.7,20.6,54.3,13
Oklahoma,Adequacy of Prenatal care,Inadequate PNC,TRUE,14.7,5.9,32.1,25
Delaware,Adequacy of Prenatal care,Inadequate PNC,FALSE,70,58.4,79.5,46
Wisconsin,Adequacy of Prenatal care,Inadequate PNC,TRUE,44.9,26.5,64.9,21
Utah,Adequacy of Prenatal care,Inadequate PNC,TRUE,35.2,21.2,52.3,14
Nebraska,Adequacy of Prenatal care,Inadequate PNC,FALSE,61.4,48,73.4,64
New Jersey,Adequacy of Prenatal care,Inadequate PNC,FALSE,75.3,63.9,84.1,67
Colorado,Adequacy of Prenatal care,Inadequate PNC,FALSE,65.9,54.4,75.7,122
Georgia,Adequacy of Prenatal care,Inadequate PNC,FALSE,93.2,79.9,97.9,107
PRAMS Total,Adequacy of Prenatal care,Intermediate PNC,FALSE,73.6,71.9,75.3,5230
PRAMS Total,Adequacy of Prenatal care,Intermediate PNC,TRUE,26.4,24.7,28.1,1817
Colorado,Adequacy of Prenatal care,Intermediate PNC,FALSE,68.5,62.4,74.1,357
Hawaii,Adequacy of Prenatal care,Intermediate PNC,TRUE,22.7,17.1,29.5,66
Maryland,Adequacy of Prenatal care,Intermediate PNC,FALSE,67.4,58.7,75.1,179
Utah,Adequacy of Prenatal care,Intermediate PNC,TRUE,24.4,18.6,31.3,61
Washington,Adequacy of Prenatal care,Intermediate PNC,FALSE,75.5,68.7,81.2,190
Georgia,Adequacy of Prenatal care,Intermediate PNC,TRUE,22,14.4,32.1,42
Arkansas,Adequacy of Prenatal care,Intermediate PNC,TRUE,22.8,14.9,33.1,45
New York City,Adequacy of Prenatal care,Intermediate PNC,FALSE,74.7,68,80.4,202
New Mexico,Adequacy of Prenatal care,Intermediate PNC,TRUE,25,20.8,29.7,89
Massachusetts,Adequacy of Prenatal care,Intermediate PNC,TRUE,29.8,22,38.9,59
West Virginia,Adequacy of Prenatal care,Intermediate PNC,TRUE,19.2,14.2,25.5,68
Minnesota,Adequacy of Prenatal care,Intermediate PNC,FALSE,73.2,66.1,79.3,177
Colorado,Adequacy of Prenatal care,Intermediate PNC,TRUE,31.5,25.9,37.6,151
Oregon,Adequacy of Prenatal care,Intermediate PNC,FALSE,74.2,66.8,80.5,251
Wyoming,Adequacy of Prenatal care,Intermediate PNC,FALSE,61.7,51.8,70.7,95
West Virginia,Adequacy of Prenatal care,Intermediate PNC,FALSE,80.8,74.5,85.8,282
Hawaii,Adequacy of Prenatal care,Intermediate PNC,FALSE,77.3,70.5,82.9,221
Wisconsin,Adequacy of Prenatal care,Intermediate PNC,TRUE,20.3,14,28.5,63
New York (excluding NYC),Adequacy of Prenatal care,Intermediate PNC,FALSE,63.5,54.4,71.8,115
Missouri,Adequacy of Prenatal care,Intermediate PNC,FALSE,79,71.9,84.6,162
Vermont,Adequacy of Prenatal care,Intermediate PNC,TRUE,18.5,12.6,26.4,24
Maine,Adequacy of Prenatal care,Intermediate PNC,TRUE,36.8,27.5,47.3,43
Maryland,Adequacy of Prenatal care,Intermediate PNC,TRUE,32.6,24.9,41.3,101
Massachusetts,Adequacy of Prenatal care,Intermediate PNC,FALSE,70.2,61.1,78,163
Pennsylvania,Adequacy of Prenatal care,Intermediate PNC,FALSE,74.6,67.1,80.8,152
Michigan,Adequacy of Prenatal care,Intermediate PNC,TRUE,18.1,12.7,25,43
Rhode Island,Adequacy of Prenatal care,Intermediate PNC,FALSE,72.9,64.9,79.7,128
Missouri,Adequacy of Prenatal care,Intermediate PNC,TRUE,21,15.4,28.1,48
Oregon,Adequacy of Prenatal care,Intermediate PNC,TRUE,25.8,19.5,33.2,100
Nebraska,Adequacy of Prenatal care,Intermediate PNC,TRUE,30.7,25.4,36.6,123
New York City,Adequacy of Prenatal care,Intermediate PNC,TRUE,25.3,19.6,32,76
Maine,Adequacy of Prenatal care,Intermediate PNC,FALSE,63.2,52.7,72.5,92
Oklahoma,Adequacy of Prenatal care,Intermediate PNC,FALSE,76.6,68.4,83.2,332
Rhode Island,Adequacy of Prenatal care,Intermediate PNC,TRUE,27.1,20.3,35.1,51
Oklahoma,Adequacy of Prenatal care,Intermediate PNC,TRUE,23.4,16.8,31.6,106
New Jersey,Adequacy of Prenatal care,Intermediate PNC,FALSE,70.2,64.9,75,262
Delaware,Adequacy of Prenatal care,Intermediate PNC,TRUE,22.1,16.7,28.8,42
Vermont,Adequacy of Prenatal care,Intermediate PNC,FALSE,81.5,73.6,87.4,100
Wisconsin,Adequacy of Prenatal care,Intermediate PNC,FALSE,79.7,71.5,86,247
Arkansas,Adequacy of Prenatal care,Intermediate PNC,FALSE,77.2,66.9,85.1,202
New Mexico,Adequacy of Prenatal care,Intermediate PNC,FALSE,75,70.3,79.2,262
Michigan,Adequacy of Prenatal care,Intermediate PNC,FALSE,81.9,75,87.3,213
Utah,Adequacy of Prenatal care,Intermediate PNC,FALSE,75.6,68.7,81.4,169
Washington,Adequacy of Prenatal care,Intermediate PNC,TRUE,24.5,18.8,31.3,70
Wyoming,Adequacy of Prenatal care,Intermediate PNC,TRUE,38.3,29.3,48.2,51
Georgia,Adequacy of Prenatal care,Intermediate PNC,FALSE,78,67.9,85.6,242
Nebraska,Adequacy of Prenatal care,Intermediate PNC,FALSE,69.3,63.4,74.6,294
Pennsylvania,Adequacy of Prenatal care,Intermediate PNC,TRUE,25.4,19.2,32.9,50
New Jersey,Adequacy of Prenatal care,Intermediate PNC,TRUE,29.8,25,35.1,114
Delaware,Adequacy of Prenatal care,Intermediate PNC,FALSE,77.9,71.2,83.3,141
New York (excluding NYC),Adequacy of Prenatal care,Intermediate PNC,TRUE,36.5,28.2,45.6,71
Minnesota,Adequacy of Prenatal care,Intermediate PNC,TRUE,26.8,20.7,33.9,60
PRAMS Total,Adequacy of Prenatal care,NA,FALSE,71.8,68.9,74.5,2064
PRAMS Total,Adequacy of Prenatal care,NA,TRUE,28.2,25.5,31.1,822
Oregon,Adequacy of Prenatal care,NA,FALSE,71.5,57.8,82.1,80
Colorado,Adequacy of Prenatal care,NA,FALSE,66,50.1,78.9,44
Michigan,Adequacy of Prenatal care,NA,TRUE,26.4,18.8,35.8,37
Nebraska,Adequacy of Prenatal care,NA,TRUE,36.3,25.9,48.2,33
Colorado,Adequacy of Prenatal care,NA,TRUE,34,21.1,49.9,28
Delaware,Adequacy of Prenatal care,NA,FALSE,72.6,57.6,83.8,38
New York (excluding NYC),Adequacy of Prenatal care,NA,FALSE,57.8,42.9,71.4,53
Hawaii,Adequacy of Prenatal care,NA,TRUE,16.7,9.7,27.4,18
Utah,Adequacy of Prenatal care,NA,FALSE,65.7,51.8,77.3,53
Wyoming,Adequacy of Prenatal care,NA,FALSE,78.8,61.2,89.7,30
Wisconsin,Adequacy of Prenatal care,NA,FALSE,66.6,56.1,75.8,153
Missouri,Adequacy of Prenatal care,NA,FALSE,80.5,72.6,86.6,130
Minnesota,Adequacy of Prenatal care,NA,TRUE,43.4,32.1,55.5,37
New Mexico,Adequacy of Prenatal care,NA,FALSE,69.8,60.8,77.4,80
Oregon,Adequacy of Prenatal care,NA,TRUE,28.5,17.9,42.2,30
Utah,Adequacy of Prenatal care,NA,TRUE,34.3,22.7,48.2,21
Vermont,Adequacy of Prenatal care,NA,TRUE,33.6,25.3,43,40
Michigan,Adequacy of Prenatal care,NA,FALSE,73.6,64.2,81.2,104
Oklahoma,Adequacy of Prenatal care,NA,FALSE,74.7,60,85.4,132
New Mexico,Adequacy of Prenatal care,NA,TRUE,30.2,22.6,39.2,35
Missouri,Adequacy of Prenatal care,NA,TRUE,19.5,13.4,27.4,39
Hawaii,Adequacy of Prenatal care,NA,FALSE,83.3,72.6,90.3,62
Pennsylvania,Adequacy of Prenatal care,NA,FALSE,72.3,63,80,90
Vermont,Adequacy of Prenatal care,NA,FALSE,66.4,57,74.7,71
Nebraska,Adequacy of Prenatal care,NA,FALSE,63.7,51.8,74.1,64
New York (excluding NYC),Adequacy of Prenatal care,NA,TRUE,42.2,28.6,57.1,32
Maryland,Adequacy of Prenatal care,NA,TRUE,20.8,13.8,30.1,70
Delaware,Adequacy of Prenatal care,NA,TRUE,27.4,16.2,42.4,13
Pennsylvania,Adequacy of Prenatal care,NA,TRUE,27.7,20,37,40
Rhode Island,Adequacy of Prenatal care,NA,FALSE,67.9,52.5,80.1,41
Wisconsin,Adequacy of Prenatal care,NA,TRUE,33.4,24.2,43.9,53
Maryland,Adequacy of Prenatal care,NA,FALSE,79.2,69.9,86.2,111
Georgia,Adequacy of Prenatal care,NA,TRUE,25.1,18.6,32.9,105
Massachusetts,Adequacy of Prenatal care,NA,TRUE,39.7,27.8,53,38
Arkansas,Adequacy of Prenatal care,NA,TRUE,16.2,5.5,39.2,12
Minnesota,Adequacy of Prenatal care,NA,FALSE,56.6,44.5,67.9,48
Washington,Adequacy of Prenatal care,NA,FALSE,73.1,63.9,80.6,111
Washington,Adequacy of Prenatal care,NA,TRUE,26.9,19.4,36.1,48
Rhode Island,Adequacy of Prenatal care,NA,TRUE,32.1,19.9,47.5,19
Wyoming,Adequacy of Prenatal care,NA,TRUE,21.2,10.3,38.8,10
Oklahoma,Adequacy of Prenatal care,NA,TRUE,25.3,14.6,40,49
Arkansas,Adequacy of Prenatal care,NA,FALSE,83.8,60.8,94.5,68
Massachusetts,Adequacy of Prenatal care,NA,FALSE,60.3,47,72.2,68
Georgia,Adequacy of Prenatal care,NA,FALSE,74.9,67.1,81.4,392
PRAMS Total,Birth Weight,FALSE,FALSE,68.4,66.7,70,6140
PRAMS Total,Birth Weight,FALSE,TRUE,31.6,30,33.3,2885
Missouri,Birth Weight,FALSE,FALSE,72.5,67.9,76.6,261
Minnesota,Birth Weight,FALSE,FALSE,71.2,58.8,81.1,64
Wisconsin,Birth Weight,FALSE,FALSE,62.3,47.1,75.4,99
Maine,Birth Weight,FALSE,TRUE,35,31.6,38.5,137
Massachusetts,Birth Weight,FALSE,TRUE,34.3,23.2,47.5,41
New York (excluding NYC),Birth Weight,FALSE,TRUE,34.9,30.8,39.2,174
West Virginia,Birth Weight,FALSE,FALSE,76.1,73.9,78.1,584
New York City,Birth Weight,FALSE,FALSE,66.5,62.7,70.2,387
Georgia,Birth Weight,FALSE,FALSE,76.2,71.9,80,330
Minnesota,Birth Weight,FALSE,TRUE,28.8,18.9,41.2,25
Delaware,Birth Weight,FALSE,TRUE,29.4,24.2,35.1,65
Arkansas,Birth Weight,FALSE,TRUE,21.1,17.5,25.2,100
New Jersey,Birth Weight,FALSE,FALSE,68,57.8,76.7,79
Colorado,Birth Weight,FALSE,TRUE,36.9,32.8,41.1,276
Maryland,Birth Weight,FALSE,FALSE,65.3,61.3,69.1,386
Georgia,Birth Weight,FALSE,TRUE,23.8,20,28.1,115
Wisconsin,Birth Weight,FALSE,TRUE,37.7,24.6,52.9,36
Oklahoma,Birth Weight,FALSE,FALSE,73.4,70.4,76.2,678
Massachusetts,Birth Weight,FALSE,FALSE,65.7,52.5,76.8,68
Wyoming,Birth Weight,FALSE,TRUE,26.7,22.1,31.8,58
Vermont,Birth Weight,FALSE,TRUE,33.9,31.2,36.7,94
Utah,Birth Weight,FALSE,TRUE,34.2,29.9,38.7,130
New York City,Birth Weight,FALSE,TRUE,33.5,29.8,37.3,206
Rhode Island,Birth Weight,FALSE,FALSE,65.3,62.7,67.8,290
Nebraska,Birth Weight,FALSE,FALSE,67.5,56,77.2,79
Rhode Island,Birth Weight,FALSE,TRUE,34.7,32.2,37.3,170
Maine,Birth Weight,FALSE,FALSE,65,61.5,68.4,231
New Jersey,Birth Weight,FALSE,TRUE,32,23.3,42.2,37
Maryland,Birth Weight,FALSE,TRUE,34.7,30.9,38.7,261
Washington,Birth Weight,FALSE,FALSE,50.2,36.7,63.6,43
Michigan,Birth Weight,FALSE,TRUE,28.5,23.3,34.2,80
Utah,Birth Weight,FALSE,FALSE,65.8,61.3,70.1,232
Pennsylvania,Birth Weight,FALSE,FALSE,71.4,66,76.2,195
Nebraska,Birth Weight,FALSE,TRUE,32.5,22.8,44,32
Oregon,Birth Weight,FALSE,FALSE,57.4,41.2,72.2,55
Delaware,Birth Weight,FALSE,FALSE,70.6,64.9,75.8,168
Washington,Birth Weight,FALSE,TRUE,49.8,36.4,63.3,39
Arkansas,Birth Weight,FALSE,FALSE,78.9,74.8,82.5,378
Wyoming,Birth Weight,FALSE,FALSE,73.3,68.2,77.9,143
Oklahoma,Birth Weight,FALSE,TRUE,26.6,23.8,29.6,260
Missouri,Birth Weight,FALSE,TRUE,27.5,23.4,32.1,111
Michigan,Birth Weight,FALSE,FALSE,71.5,65.8,76.7,192
Pennsylvania,Birth Weight,FALSE,TRUE,28.6,23.8,34,100
Oregon,Birth Weight,FALSE,TRUE,42.6,27.8,58.8,31
Hawaii,Birth Weight,FALSE,TRUE,31,26.2,36.4,93
Colorado,Birth Weight,FALSE,FALSE,63.1,58.9,67.2,477
New Mexico,Birth Weight,FALSE,FALSE,71.8,62.1,79.9,73
New Mexico,Birth Weight,FALSE,TRUE,28.2,20.1,37.9,26
Hawaii,Birth Weight,FALSE,FALSE,69,63.6,73.8,184
West Virginia,Birth Weight,FALSE,TRUE,23.9,21.9,26.1,188
Vermont,Birth Weight,FALSE,FALSE,66.1,63.3,68.8,175
New York (excluding NYC),Birth Weight,FALSE,FALSE,65.1,60.8,69.2,289
PRAMS Total,Birth Weight,TRUE,FALSE,67.6,66.7,68.4,18474
PRAMS Total,Birth Weight,TRUE,TRUE,32.4,31.6,33.3,8556
Oregon,Birth Weight,TRUE,FALSE,67.5,64.2,70.7,1130
Pennsylvania,Birth Weight,TRUE,TRUE,32,28.8,35.4,262
Utah,Birth Weight,TRUE,FALSE,66.9,63.9,69.7,715
Washington,Birth Weight,TRUE,TRUE,33.3,30,36.8,341
Minnesota,Birth Weight,TRUE,TRUE,39.2,36.3,42.2,482
Michigan,Birth Weight,TRUE,TRUE,30.2,27.6,33.1,390
Delaware,Birth Weight,TRUE,FALSE,71.6,68.5,74.4,573
Vermont,Birth Weight,TRUE,FALSE,62.3,59.1,65.3,489
Georgia,Birth Weight,TRUE,TRUE,26.6,22.5,31.1,198
West Virginia,Birth Weight,TRUE,TRUE,24.4,21.6,27.4,196
Nebraska,Birth Weight,TRUE,FALSE,62.5,59.6,65.3,1039
Washington,Birth Weight,TRUE,FALSE,66.7,63.2,70,750
Arkansas,Birth Weight,TRUE,TRUE,23.2,19.4,27.4,178
Wyoming,Birth Weight,TRUE,FALSE,63.3,58.6,67.7,318
Delaware,Birth Weight,TRUE,TRUE,28.4,25.6,31.5,247
Colorado,Birth Weight,TRUE,FALSE,65.1,61.8,68.3,712
Oklahoma,Birth Weight,TRUE,TRUE,26.6,23,30.6,283
West Virginia,Birth Weight,TRUE,FALSE,75.6,72.6,78.4,618
Rhode Island,Birth Weight,TRUE,FALSE,64.7,61.4,67.9,499
Rhode Island,Birth Weight,TRUE,TRUE,35.3,32.1,38.6,291
New York City,Birth Weight,TRUE,FALSE,68.7,65.4,71.8,549
Oklahoma,Birth Weight,TRUE,FALSE,73.4,69.4,77,712
New Mexico,Birth Weight,TRUE,FALSE,71.6,69.1,73.9,919
Wyoming,Birth Weight,TRUE,TRUE,36.7,32.3,41.4,165
Massachusetts,Birth Weight,TRUE,TRUE,39.3,35.9,42.7,533
New Mexico,Birth Weight,TRUE,TRUE,28.4,26.1,30.9,384
Georgia,Birth Weight,TRUE,FALSE,73.4,68.9,77.5,911
Oregon,Birth Weight,TRUE,TRUE,32.5,29.3,35.8,529
Pennsylvania,Birth Weight,TRUE,FALSE,68,64.6,71.2,504
Massachusetts,Birth Weight,TRUE,FALSE,60.7,57.3,64.1,925
Michigan,Birth Weight,TRUE,FALSE,69.8,66.9,72.4,985
Maryland,Birth Weight,TRUE,FALSE,70.3,66.3,74,506
Maine,Birth Weight,TRUE,TRUE,37.8,34.3,41.5,258
New Jersey,Birth Weight,TRUE,TRUE,37,34.1,39.9,460
Hawaii,Birth Weight,TRUE,FALSE,71.5,68.2,74.5,920
Colorado,Birth Weight,TRUE,TRUE,34.9,31.7,38.2,366
Arkansas,Birth Weight,TRUE,FALSE,76.8,72.6,80.6,673
Hawaii,Birth Weight,TRUE,TRUE,28.5,25.5,31.8,353
New York City,Birth Weight,TRUE,TRUE,31.3,28.2,34.6,258
Utah,Birth Weight,TRUE,TRUE,33.1,30.3,36.1,349
Nebraska,Birth Weight,TRUE,TRUE,37.5,34.7,40.4,555
New Jersey,Birth Weight,TRUE,FALSE,63,60.1,65.9,820
Missouri,Birth Weight,TRUE,FALSE,70.9,67.8,73.8,599
Missouri,Birth Weight,TRUE,TRUE,29.1,26.2,32.2,261
Wisconsin,Birth Weight,TRUE,FALSE,63.1,59.3,66.8,1039
Maryland,Birth Weight,TRUE,TRUE,29.7,26,33.7,296
New York (excluding NYC),Birth Weight,TRUE,TRUE,35.7,31.9,39.7,219
Vermont,Birth Weight,TRUE,TRUE,37.7,34.7,40.9,318
Minnesota,Birth Weight,TRUE,FALSE,60.8,57.8,63.7,807
New York (excluding NYC),Birth Weight,TRUE,FALSE,64.3,60.3,68.1,361
Maine,Birth Weight,TRUE,FALSE,62.2,58.5,65.7,401
Wisconsin,Birth Weight,TRUE,TRUE,36.9,33.2,40.7,384
PRAMS Total,Income (years 2004 and beyond),"$10,000 to $24,999",FALSE,80.4,78.9,81.8,6281
PRAMS Total,Income (years 2004 and beyond),"$10,000 to $24,999",TRUE,19.6,18.2,21.1,1626
New Mexico,Income (years 2004 and beyond),"$10,000 to $24,999",FALSE,78.6,74.3,82.4,305
New York (excluding NYC),Income (years 2004 and beyond),"$10,000 to $24,999",TRUE,19.7,13.6,27.7,45
Missouri,Income (years 2004 and beyond),"$10,000 to $24,999",TRUE,14.9,10.5,20.7,37
Vermont,Income (years 2004 and beyond),"$10,000 to $24,999",TRUE,18.9,14.3,24.7,47
Massachusetts,Income (years 2004 and beyond),"$10,000 to $24,999",FALSE,74.7,67.1,81.1,209
Colorado,Income (years 2004 and beyond),"$10,000 to $24,999",TRUE,18,13.1,24.1,72
Utah,Income (years 2004 and beyond),"$10,000 to $24,999",FALSE,71.4,65.3,76.8,228
Michigan,Income (years 2004 and beyond),"$10,000 to $24,999",TRUE,17.9,13.6,23.3,56
Georgia,Income (years 2004 and beyond),"$10,000 to $24,999",FALSE,85.1,76.9,90.7,307
Maine,Income (years 2004 and beyond),"$10,000 to $24,999",TRUE,27,20.6,34.6,54
Maine,Income (years 2004 and beyond),"$10,000 to $24,999",FALSE,73,65.4,79.4,179
Arkansas,Income (years 2004 and beyond),"$10,000 to $24,999",FALSE,83.7,76.8,88.8,344
Maryland,Income (years 2004 and beyond),"$10,000 to $24,999",TRUE,11.9,7.3,18.8,47
Pennsylvania,Income (years 2004 and beyond),"$10,000 to $24,999",FALSE,85.5,79.5,89.9,170
Utah,Income (years 2004 and beyond),"$10,000 to $24,999",TRUE,28.6,23.2,34.7,87
Wyoming,Income (years 2004 and beyond),"$10,000 to $24,999",FALSE,80.2,71.3,86.9,112
