geolocation,question,location,response,value,lowConfidenceLimit,highConfidenceLimit,sampleSize,breakOut,breakOutCategory,questionID,locationID
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),6.2,4.9,7.7,72,Non-Medicaid,Medicaid Recipient,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),5.2,3,8.8,12,Hispanic,Mother Hispanic,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),94.8,91.2,97,233,Hispanic,Mother Hispanic,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),7.2,6,8.7,108,Non-Hispanic,Mother Hispanic,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),92.8,91.3,94,1405,Non-Hispanic,Mother Hispanic,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),6.9,5.8,8.2,120,None,None,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),93.1,91.8,94.2,1638,None,None,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),7.2,5.5,9.3,53,0,Number of Previous Live Births,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),6.8,5.4,8.5,67,1 or more,Number of Previous Live Births,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),93.2,91.5,94.6,956,1 or more,Number of Previous Live Births,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),92.8,90.7,94.5,682,0,Number of Previous Live Births,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),94.4,92.8,95.6,989,Non-WIC,On WIC during Pregnancy,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),8.5,6.7,10.8,58,WIC,On WIC during Pregnancy,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),5.6,4.4,7.2,59,Non-WIC,On WIC during Pregnancy,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),91.5,89.2,93.3,621,WIC,On WIC during Pregnancy,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),7,5.5,8.8,67,Intended,Pregnancy Intendedness,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),93.4,91.3,95,664,Unintended,Pregnancy Intendedness,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),6.6,5,8.7,48,Unintended,Pregnancy Intendedness,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),93,91.2,94.5,922,Intended,Pregnancy Intendedness,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),92.9,89.3,95.3,275,Smoker,Smoked 3 months before Pregnancy,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),7.1,4.7,10.7,20,Smoker,Smoked 3 months before Pregnancy,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),93.2,91.8,94.4,1327,Non-Smoker,Smoked 3 months before Pregnancy,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),6.8,5.6,8.2,95,Non-Smoker,Smoked 3 months before Pregnancy,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),93.4,92.1,94.5,1487,Non-Smoker,Smoked last 3 months of Pregnancy,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),6.6,5.5,7.9,103,Non-Smoker,Smoked last 3 months of Pregnancy,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,NBW (>2500g),90.6,84.4,94.5,115,Smoker,Smoked last 3 months of Pregnancy,QUO7,15
"(21.304850435, -157.857749403)",Baby's Weight,Hawaii,LBW (<=2500g),9.4,5.5,15.6,12,Smoker,Smoked last 3 months of Pregnancy,QUO7,15
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),10.3,8.3,12.8,113,Intermediate PNC,Adequacy of Prenatal care,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),76.8,65.5,85.3,18,Inadequate PNC,Adequacy of Prenatal care,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),10.3,9.8,10.9,552,Adequate PNC,Adequacy of Prenatal care,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),23.2,14.7,34.5,42,Inadequate PNC,Adequacy of Prenatal care,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),89.7,87.2,91.7,124,Intermediate PNC,Adequacy of Prenatal care,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),89.7,89.1,90.2,588,Adequate PNC,Adequacy of Prenatal care,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),13.3,11.5,15.2,250,"Less than $10,000",Income (years 2004 and beyond),QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),86.7,84.8,88.5,196,"Less than $10,000",Income (years 2004 and beyond),QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),6.7,5.2,8.5,74,"$50,000 or more",Income (years 2004 and beyond),QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),92,90,93.5,145,"$25,000 to $49,999",Income (years 2004 and beyond),QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),11.7,10.1,13.6,213,"$10,000 to $24,999",Income (years 2004 and beyond),QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),93.3,91.5,94.8,140,"$50,000 or more",Income (years 2004 and beyond),QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),8,6.5,10,112,"$25,000 to $49,999",Income (years 2004 and beyond),QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),88.3,86.4,89.9,198,"$10,000 to $24,999",Income (years 2004 and beyond),QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),8.1,7.2,9.1,246,Married,Marital Status,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),12.8,11.7,13.9,467,Other,Marital Status,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),87.2,86.1,88.3,366,Other,Marital Status,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),91.9,90.9,92.8,368,Married,Marital Status,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),13.8,11.3,16.7,137,<20 yrs,Maternal Age (3 Levels),QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),89.2,87.2,91,158,30+ yrs,Maternal Age (3 Levels),QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),86.2,83.3,88.7,119,<20 yrs,Maternal Age (3 Levels),QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),89.9,89.1,90.7,457,20-29 yrs,Maternal Age (3 Levels),QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),10.8,9,12.8,162,30+ yrs,Maternal Age (3 Levels),QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),10.1,9.3,10.9,414,20-29 yrs,Maternal Age (3 Levels),QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),11.2,7.9,15.7,53,35+ yrs,Maternal Age (4 Levels),QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),13.8,11.3,16.7,137,<20 yrs,Maternal Age (4 Levels),QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),8.5,7.5,9.6,264,25-34 yrs,Maternal Age (4 Levels),QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),12.2,10.7,13.9,259,20-24 yrs,Maternal Age (4 Levels),QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),87.8,86.1,89.3,234,20-24 yrs,Maternal Age (4 Levels),QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),91.5,90.4,92.5,331,25-34 yrs,Maternal Age (4 Levels),QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),88.8,84.3,92.1,50,35+ yrs,Maternal Age (4 Levels),QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),86.2,83.3,88.7,119,<20 yrs,Maternal Age (4 Levels),QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),7.9,6.7,9.2,185,Age 25 - 29,Maternal Age - 18 to 44 years in groupings,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),16.5,11.6,23,52,Age < 18,Maternal Age - 18 to 44 years in groupings,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),83.5,77,88.4,39,Age < 18,Maternal Age - 18 to 44 years in groupings,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),89.2,86.8,91.2,127,Age 30 - 44,Maternal Age - 18 to 44 years in groupings,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),92.1,90.8,93.3,254,Age 25 - 29,Maternal Age - 18 to 44 years in groupings,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),12.2,11,13.5,344,Age 18 - 24,Maternal Age - 18 to 44 years in groupings,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),87.8,86.5,89,314,Age 18 - 24,Maternal Age - 18 to 44 years in groupings,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),10.8,8.8,13.2,131,Age 30 - 44,Maternal Age - 18 to 44 years in groupings,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),10.4,10.1,10.8,660,Age 18 - 44,Maternal Age - 18 to 44 years only,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),89.6,89.2,89.9,695,Age 18 - 44,Maternal Age - 18 to 44 years only,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),91.4,90.4,92.3,353,>12 yrs,Maternal Education,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),12.8,11.1,14.6,254,12 yrs,Maternal Education,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),12.2,10.3,14.4,179,< 12 yrs,Maternal Education,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),87.8,85.6,89.7,174,< 12 yrs,Maternal Education,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),87.2,85.4,88.9,207,12 yrs,Maternal Education,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),8.6,7.7,9.6,276,>12 yrs,Maternal Education,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),7.4,6.6,8.2,236,"White, non-Hispanic",Maternal Race/Ethnicity,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),92.6,91.8,93.4,413,"White, non-Hispanic",Maternal Race/Ethnicity,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),85.3,83.9,86.6,306,"Black, non-Hispanic",Maternal Race/Ethnicity,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),14.7,13.4,16.1,467,"Black, non-Hispanic",Maternal Race/Ethnicity,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),87.9,87.2,88.6,503,Medicaid,Medicaid Recipient,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),12.1,11.4,12.8,570,Medicaid,Medicaid Recipient,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),7.3,6.2,8.7,143,Non-Medicaid,Medicaid Recipient,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),92.7,91.3,93.8,231,Non-Medicaid,Medicaid Recipient,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),10.8,10.6,11,711,Non-Hispanic,Mother Hispanic,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),89.2,89,89.4,729,Non-Hispanic,Mother Hispanic,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),89.2,89.1,89.4,734,None,None,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),10.8,10.6,10.9,713,None,None,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),89.8,88.9,90.6,416,1 or more,Number of Previous Live Births,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),10.2,9.4,11.1,390,1 or more,Number of Previous Live Births,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),88.4,87.1,89.6,318,0,Number of Previous Live Births,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),11.6,10.4,12.9,323,0,Number of Previous Live Births,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),88.3,87.5,89.1,470,WIC,On WIC during Pregnancy,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),91.3,89.9,92.5,259,Non-WIC,On WIC during Pregnancy,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),11.7,10.9,12.5,508,WIC,On WIC during Pregnancy,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),8.7,7.5,10.1,196,Non-WIC,On WIC during Pregnancy,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),12,11.1,13,446,Unintended,Pregnancy Intendedness,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),88,87,88.9,403,Unintended,Pregnancy Intendedness,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),91.2,90,92.2,323,Intended,Pregnancy Intendedness,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),8.8,7.8,10,252,Intended,Pregnancy Intendedness,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),89.6,88.9,90.2,543,Non-Smoker,Smoked 3 months before Pregnancy,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),88,86,89.8,178,Smoker,Smoked 3 months before Pregnancy,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),12,10.2,14,189,Smoker,Smoked 3 months before Pregnancy,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),10.4,9.8,11.1,518,Non-Smoker,Smoked 3 months before Pregnancy,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),89.7,89.2,90.1,620,Non-Smoker,Smoked last 3 months of Pregnancy,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,NBW (>2500g),86.7,83.6,89.3,104,Smoker,Smoked last 3 months of Pregnancy,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),13.3,10.7,16.4,123,Smoker,Smoked last 3 months of Pregnancy,QUO7,28
"(32.745510099, -89.538030825)",Baby's Weight,Mississippi,LBW (<=2500g),10.3,9.9,10.8,584,Non-Smoker,Smoked last 3 months of Pregnancy,QUO7,28
"(32.839681093, -83.627580346)",Baby's Weight,Georgia,NBW (>2500g),90.4,82.9,94.8,17,Inadequate PNC,Adequacy of Prenatal care,QUO7,13
"(32.839681093, -83.627580346)",Baby's Weight,Georgia,NBW (>2500g),93.4,91.9,94.6,132,Adequate PNC,Adequacy of Prenatal care,QUO7,13
"(32.839681093, -83.627580346)",Baby's Weight,Georgia,LBW (<=2500g),9.7,8.4,11,255,Unknown PNC,Adequacy of Prenatal care,QUO7,13
"(32.839681093, -83.627580346)",Baby's Weight,Georgia,LBW (<=2500g),6.6,5.4,8.1,205,Adequate PNC,Adequacy of Prenatal care,QUO7,13
"(32.839681093, -83.627580346)",Baby's Weight,Georgia,LBW (<=2500g),8.3,5.9,11.6,96,Intermediate PNC,Adequacy of Prenatal care,QUO7,13
"(32.839681093, -83.627580346)",Baby's Weight,Georgia,LBW (<=2500g),9.6,5.2,17.1,41,Inadequate PNC,Adequacy of Prenatal care,QUO7,13
"(32.839681093, -83.627580346)",Baby's Weight,Georgia,NBW (>2500g),90.3,89,91.6,183,Unknown PNC,Adequacy of Prenatal care,QUO7,13
"(32.839681093, -83.627580346)",Baby's Weight,Georgia,NBW (>2500g),91.7,88.4,94.1,52,Intermediate PNC,Adequacy of Prenatal care,QUO7,13
"(32.839681093, -83.627580346)",Baby's Weight,Georgia,LBW (<=2500g),8.1,5.9,11.1,84,"$25,000 to $49,999",Income (years 2004 and beyond),QUO7,13
